,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
244,8,0.0,1809,0.22904090001247823,"[1, 1, 1, 1, 1]",200,0.8,8192
245,16,0.0,3417,0.3076205000106711,"[1, 1, 1, 1, 1]",200,0.8,8192
246,32,0.0,6633,0.4201543999952264,"[1, 1, 1, 1, 1]",200,0.8,8192
247,64,0.0,13065,0.5929801000165753,"[1, 1, 1, 1, 1]",200,0.8,8192
248,128,0.0,25929,0.8881665999942925,"[1, 1, 1, 1, 1]",200,0.8,8192
249,256,0.0,51657,1.4338833000219893,"[1, 1, 1, 1, 1]",200,0.8,8192
250,512,0.0,103113,2.4751793000032194,"[1, 1, 1, 1, 1]",200,0.8,8192
251,1024,0.0,201402,4.44174579999526,"[1, 1, 1, 1, 1]",200,0.8,8192
252,2048,0.0,201402,4.44174579999526,"[1, 1, 1, 1, 1]",200,0.8,8192
253,4096,0.0,201402,4.44174579999526,"[1, 1, 1, 1, 1]",200,0.8,8192
254,8192,0.0,201402,4.44174579999526,"[1, 1, 1, 1, 1]",200,0.8,8192
255,0,3.0,200,0.0011442000104580075,"[0, 1, 0, 0, 0]",200,0.9,8192
256,1,0.0,402,0.054494400013936684,"[0, 0, 0, 0, 0]",200,0.9,8192
257,2,0.0,603,0.1088760000129696,"[0, 0, 0, 0, 0]",200,0.9,8192
258,4,0.0,1005,0.17160970001714304,"[0, 0, 0, 0, 0]",200,0.9,8192
259,8,0.0,1809,0.23826300000655465,"[0, 0, 0, 0, 0]",200,0.9,8192
260,16,0.0,3417,0.31868299999041483,"[0, 0, 0, 0, 0]",200,0.9,8192
261,32,0.0,6633,0.43083590001333505,"[0, 0, 0, 0, 0]",200,0.9,8192
262,64,0.0,13065,0.6062191000091843,"[0, 0, 0, 0, 0]",200,0.9,8192
263,128,0.0,25929,0.9056618000031449,"[0, 0, 0, 0, 0]",200,0.9,8192
264,256,0.0,51657,1.4498964000085834,"[0, 0, 0, 0, 0]",200,0.9,8192
265,512,0.0,103113,2.4947874000063166,"[0, 0, 0, 0, 0]",200,0.9,8192
266,1024,0.0,201402,4.545050000015181,"[0, 0, 0, 0, 0]",200,0.9,8192
267,2048,0.0,201402,4.545050000015181,"[0, 0, 0, 0, 0]",200,0.9,8192
268,4096,0.0,201402,4.545050000015181,"[0, 0, 0, 0, 0]",200,0.9,8192
269,8192,0.0,201402,4.545050000015181,"[0, 0, 0, 0, 0]",200,0.9,8192
